AgeCourseStart,Quiz1Norm,Quiz2Norm,HW1Norm,MTNorm,TGNorm,AGE_ADMITTED,Reg_Hrs,HS_GPA,MATH,PHYS,Repeated_Grade_ITBP119_CSBP119,ITBP119_CSBP119_max,Repeated_Grade_ITBP219_CSBP219,ESPN,CSBP121,MATH105,CENG205,PHYS105,CENG202,CIT,AcademicStanding,Citizenship,Gender,Sponsor,Resident_in_city
20.32,0.67,0.8,1,0.75,0.75,19,13,0.973,1,0.93,0,0.84,0,0.84,0.87,0.8,0.84,0.7,0.67,1,1,1,1,0,1
18.31,0.93,0.8,1,1,1,17,16,0.971,0.99,0.93,0,0.9,0,0.9,0.9,0.9,0.9,0.9,0.9,1,1,1,1,1,0
23.91,0,0.6,0,0.48,0.14,18,9,0.9169,0.977,0.93,0,0.8,0,0.74,0.796666667,0.9,0.796666667,0.75,0.796666667,0,1,1,1,0,0
18.36,0.53,0.63,0.75,0.58,0.64,17,13,0.933,0.93,0.93,0,0.84,0,0.87,0.84,0.67,0.87,0.64,0.6,1,1,1,1,0,1
18.19,0.53,0.73,0.85,0.83,0.7,17,13,0.918,0.92,0.93,0,0.8,0,0.8,0.77,0.62,0.84,0.67,0.8,1,1,1,1,0,1
21.04,1,1,1,0.78,0.93,19,13,0.952,0.948,0.926,0,0.9,0,0.7,0.9,0,0.9,0,0.6,1,1,1,1,0,0
18.64,0.6,0.2,0.1,0.28,0.26,17,13,0.911,0.87,0.92,0,0.7,0,0.9,0.6,0.84,0.608,0.7,0,1,1,1,1,0,1
19.18,0.85,0.81,0.9,0.91,0.86,17,10,0.969,0.995,0.919,0,0.8,0,0.8,0.9,0.61,0.87,0.71,0.77,1,1,1,0,0,0
23.29,1,1,1,0.88,0.88,18,15,0.965,0.967,0.911,0,0.84,0,0.77,0.836666667,0.9,0.836666667,0.84,0.836666667,0,1,0,1,0,0
18.08,1,0.8,1,1,1,17,16,0.924,0.98,0.91,0,0.9,0,0.9,0.9,0.9,0.9,0.9,0.9,1,1,1,1,1,0
19.74,0.9,0.18,1,0.9,0.8,18,14,0.948,0.92,0.91,0,0.87,0,0.9,0.9,0.6,0.9,0.7,0.77,1,1,1,0,1,1
20.83,0.53,0.8,0.95,0.95,0.85,18,13,0.905,0.87,0.91,2,0.64,0,0.7,0.74,0.7,0.77,0.64,0.84,1,0,0,0,0,1
19.89,0.7,0.73,1,0.68,0.73,17,13,0.926,0.85,0.91,0,0.77,0,0.9,0.6,0.64,0.7,0.7,0.74,1,1,1,1,0,1
20.26,0.6,0,0.25,0.6,0.65,17,13,0.937,0.82,0.91,0,0.7,0,0.87,0.6,0.64,0,0.6,0.542,1,1,1,1,0,0
18.91,0.6,0.4,0.85,0.78,0.8,18,13,0.855,0.82,0.91,0,0.84,0,0.77,0.77,0.64,0.8,0.67,0.67,1,1,1,1,0,1
