AgeCourseStart,Quiz1Norm,Quiz2Norm,HW1Norm,MTNorm,TGNorm,AGE_ADMITTED,Reg_Hrs,HS_GPA,MATH,PHYS,Repeated_Grade_ITBP119_CSBP119,ITBP119_CSBP119_max,Repeated_Grade_ITBP219_CSBP219,ESPN,CSBP121,MATH105,CENG205,PHYS105,CENG202,CIT,AcademicStanding,Citizenship,Gender,Sponsor,Resident_in_city
17.87,0.83,0.6,1,0.9,0.9,17,13,0.9024,0.857,0.77,0,0.9,0,0.84,0.9,0.8,0.84,0.67,0.77,1,1,1,1,0,0
20.52,0.8,0.2,0.9175,0.63,0.87,17,13,0.857,0.827,0.77,0,0.84,0,0.7,0.6,0.6,0.84,0.67,0.7,1,1,1,1,0,0
18.26,0.61,0.8,0.6,0.6,0.55,17,13,0.846,0.78,0.77,0,0.7,0,0.64,0.64,0.6,0.67,0,0,1,1,1,1,0,1
20.01,0.4,0.6,0.9,0.78,0.73,17,14,0.818,0.66,0.77,0,0.8,0,0.74,0.87,0.7,0.77,0.67,0.6,1,1,1,1,0,0
21.6,0.27,0.69,0.75,0.64,0.61,19,13,0.823,0.66,0.77,0,0.7,0,0.7,0.7,0.7,0.64,0.6,0.87,1,1,1,0,0,1
18.61,0.7,0.4,0.95,0.68,0.67,17,13,0.859,0.769,0.769,0,0.6,0,0.84,0.7,0.6,0.685,0.6,0.685,1,0,1,1,0,1
19.09,0.83,0.53,0.8675,0.88,0.8,18,15,0.841,0.796,0.768,0,0.92,0,0.65,0.93,0.81,0.78,0.65,0.67,1,1,1,0,0,1
18.54,0.67,0.67,0.6,0.63,0.6,17,13,0.829,0.791,0.767,0,0.7,0,0.74,0.7,0.7,0.84,0.6,0.716,1,1,1,1,0,1
18.69,0.97,0.13,1,0.53,0.72,17,13,0.905,0.852,0.766,0,0.6,2,0.6,0.64,0.64,0.67,0.6,0.63,1,1,1,1,0,1
18.54,0.4,0.2,0.4,0.35,0.36,17,12,0.905,0.852,0.766,0,0.6,2,0.6,0.64,0.64,0.67,0.6,0.63,1,1,1,1,0,1
19.87,0.8,0.4,0.92,0.68,0.8,17,13,0.835,0.667,0.766,0,0.64,0,0.64,0.74,0.8,0.6,0.6,0.67,1,1,1,1,0,1
19.66,0.53,0.63,0.5,0.45,0.6,17,13,0.897,0.64,0.766,0,0.64,0,0.9,0.84,0.67,0.8,0.6,0.87,1,1,1,1,0,0
20.45,1,0.6,1,0.85,0.86,19,13,0.856,0.765,0.76,0,0.74,0,0.8,0.9,0.8,0.9,0.74,0.77,1,1,1,0,1,0
18.14,0.65,0.5,0.7,0.43,0.59,17,14,0.876,0.703,0.76,0,0.7,0,0.74,0.6,0.64,0.8,0.6,0.6,1,1,1,1,0,0
21.15,0.33,0.56,0.75,0.64,0.5,18,13,0.862,0.7,0.76,0,0.67,2,0.87,0.6,0.6,0.74,0.6,0.8,1,1,1,0,0,1
18.65,0.6,0.4,0.85,0.8,0.73,17,12,0.901,0.778,0.756,0,0.8,0,0.84,0.8,0.67,0.84,0.74,0.8,1,1,1,1,0,0
19.04,0.7,0.6,0.85,0.85,0.76,18,13,0.912,0.826,0.755,0,0.84,0,0.74,0.87,0.64,0.6,0.67,0.67,1,1,1,1,0,0
20.73,0.11,0.63,0,0.45,0.13,17,13,0.877,0.714,0.755,2,0.7,2,0.74,0.84,0.7,0.7,0.84,0.87,1,1,1,1,0,0
19.49,0.7,0.67,1,0.68,0.78,18,13,0.9222,0.87,0.7535,0,0.84,0,0.77,0.9,0.92,0.87,0.8,0.9,1,1,1,1,0,0
23.98,0.85,0.17,0.95,0.95,0.91,18,17,0.856,0.866,0.752,2,0.8,0,0.8,0.87,0.67,0.84,0.6,0.7,1,1,1,0,0,1
20.16,0.73,0.33,1,0.33,0.6,17,13,0.784,0.7,0.75,2,0.6,3,0.7,0.6,0.6,0.77,0.6,0.87,1,1,1,1,0,1
20.19,0.19,0.38,0.5,0.33,0.49,17,12,0.784,0.7,0.75,2,0.6,3,0.7,0.6,0.6,0.77,0.6,0.87,1,1,1,1,0,1
19.24,0.55,0.4,0.95,0.58,0.74,18,13,0.82,0.75,0.7475,0,0.74,0,0.9,0.74,0.7,0.87,0.77,0.84,1,1,1,1,0,1
18.65,0.87,0.13,0.95,0.43,0.69,17,13,0.887,0.73,0.746,0,0.7,0,0.74,0.64,0.7,0.8,0.6,0.6,1,1,1,1,0,0
18.79,0.78,0.75,0.75,1,0.95,17,16,0.9346,0.908,0.745,0,0.9,0,0.87,0.9,0.9,0.9,0.9,0.9,1,1,1,1,0,0
19.33,0.39,0.53,0,0.55,0.48,17,13,0.797,0.679,0.743,0,0.64,0,0.8,0,0.74,0.74,0.67,0.6,1,1,1,1,0,1
19.5,0.73,0.2,0.95,0.58,0.68,17,13,0.825,0.753,0.741,0,0.6,0,0.84,0.67,0.74,0.84,0.7,0.7,1,1,1,1,0,0
21.38,0.47,0.4,1,0.8,0.79,18,13,0.788,0.769,0.74,0,0.74,0,0.64,0.8,0.67,0.74,0.6,0.8,1,0,0,0,0,1
20.12,0.73,0.88,1,0.96,0.84,17,14,0.9286,0.931,0.739,0,0.9,0,0.8,0.9,0.9,0.9,0.6,0.9,1,1,1,0,1,0
20.46,0.27,0.4,0,0.88,0.51,17,13,0.855,0.774,0.739,0,0.67,0,0.84,0.7,0.84,0.64,0.67,0,1,0,1,1,0,0
20.44,0.13,0.6,0.4,0.6,0.69,18,13,0.877,0.916,0.737,0,0.64,0,0.9,0.6,0.64,0.77,0.6,0.702,1,1,1,1,0,0
20.49,0.7,1,1,0.45,0.65,18,16,0.8315,0.6,0.734,0,0.9,0,0.9,0.8,0.9,0.9,0.84,0.77,1,1,1,1,0,0
21.38,0.67,0.6,0.5,0.8,0.79,18,16,0.839,0.859,0.732,0,0.6,0,0.77,0.87,0.7,0.6,0.87,0.8,1,1,1,1,0,0
20.52,0.6,0.3,1,0.5,0.6,18,13,0.874,0.771,0.732,0,0.6,2,0.74,0.74,0.64,0,0.7,0.84,1,1,1,1,0,0
19.57,0.87,0.53,1,0.58,0.6,18,12,0.798,0.71,0.73,0,0.7,2,0.67,0.9,0.64,0.7025,0.6,0.7025,1,1,1,1,0,0
19.8,0.53,0.2,0.4,0.53,0.6,17,13,0.884,0.927,0.727,0,0.8,0,0.8,0.74,0.8,0.8,0.74,0.87,1,1,1,1,0,0
19.17,0.22,0.6,0,0.23,0.29,18,13,0.771,0.648,0.726,2,0.7,0,0.74,0,0.6,0.5025,0.67,0.5025,1,1,1,1,0,0
19.98,0.53,0.4,0.2,0.68,0.59,18,13,0.811,0.761,0.725,2,0.6,0,0.67,0.6,0.7,0.6,0.6,0,1,0,1,1,0,1
19.61,0.53,0.4,0.5,0.58,0.64,17,13,0.82,0.75,0.725,0,0.6,0,0.74,0.67,0.7,0.74,0.67,0.6,1,1,1,1,0,1
21.22,0.6,0.2,0.85,0.55,0.66,18,12,0.765,0.73,0.722,2,0.64,0,0.7,0.9,0,0.9,0.7,0.84,0,1,1,1,0,0
18.76,0.31,0.8,0.8,0.43,0.6,17,13,0.833,0.733,0.72,0,0.6,0,0.8,0.7,0.67,0.77,0.74,0.74,1,1,1,1,0,1
18.97,0.6,0.6,0.55,0.5,0.6,17,13,0.845,0.79,0.719,0,0.6,0,0.7,0.6,0.77,0.74,0.6,0.9,1,1,1,1,0,0
18.46,0.61,0.67,0.76,0.6,0.64,17,13,0.841,0.76,0.719,0,0.64,0,0.8,0.64,0.7,0.84,0.74,0.67,1,1,1,1,0,0
18.19,0.87,0.67,1,0.8,0.8,17,13,0.8754,0.778,0.715,0,0.9,0,0.8,0.9,0.87,0.9,0.74,0.64,1,1,0,1,0,0
18.8,0,0.38,0.9,0.6,0.7,17,13,0.93,0.71,0.71,0,0.64,0,0.84,0.67,0.8,0.64,0.77,0.8,1,1,1,1,0,1
20.67,0.9,0.73,1,1,0.82,18,16,0.86,0.63,0.71,0,0.8,0,0.8,0.9,0.6,0.87,0.84,0.8,1,1,1,1,0,1
19.19,0.8,0.4,0.98,0.68,0.86,18,13,0.81,0.56,0.71,0,0.8,0,0.84,0.8,0.74,0.8,0.74,0.84,1,1,1,1,1,1
19.36,0.78,0.73,0.97,0.75,0.68,18,13,0.856,0.795,0.709,0,0.7,0,0.67,0.74,0.6,0.87,0.6,0.9,1,1,1,1,0,0
22.24,0.4,0.13,1,0.33,0.6,17,18,0.83,0.91,0.708,0,0.67,0,0.7,0.775,0.76,0.8,0.84,0.775,0,1,1,1,0,0
19.07,0,0.8,0.4,0.58,0.3,17,13,0.861,0.83,0.708,0,0.8,2,0.8,0.7,0.7,0.9,0.67,0.87,1,1,1,1,0,0
18.84,0.5,0.44,0.6,0.53,0.43,17,13,0.8875,0.745,0.707,0,0.9,2,0.6,0.9,0.7,0.6,0.64,0.84,1,1,1,1,0,0
18.4,0.5,0.8,0.95,0.88,0.8,17,16,0.801,0.782,0.7,0,0.87,0,0.77,0.77,0.87,0.9,0.7,0.74,1,1,0,1,0,1
19.95,0.6,0.6,0.4,0.7,0.7,18,13,0.857,0.75,0.695,2,0.74,0,0.7,0.64,0.67,0.6,0.64,0.64,1,1,1,1,0,0
19.73,0.5,0.1,0,0.4,0.1,18,13,0.802,0.672,0.695,0,0.87,2,0.67,0.74,0.87,0.7,0.64,0.6,1,1,1,0,0,0
19.2,0.5,0.8,0.65,0.73,0.67,17,14,0.817,0.847,0.694,0,0.6,0,0.77,0.67,0.87,0.9,0.64,0.6,1,1,1,1,0,0
19.3,0.93,0.73,1,0.8,0.88,17,16,0.866,0.741,0.691,0,0.87,0,0.7,0.9,0.7,0.6,0.84,0.84,1,1,1,1,0,0
19.72,0.7,0.4,0.75,0.78,0.66,17,13,0.779,0.678,0.691,0,0.74,2,0.77,0.84,0.7,0.9,0.64,0.7,1,1,1,0,0,1
19.38,0.25,0.81,0.5,0.68,0.64,17,13,0.865,0.674,0.691,0,0.74,0,0.9,0.8,0.6,0.84,0.7,0.6,1,1,1,1,0,0
19.3,0.93,0.5,1,0.75,0.83,18,14,0.9151,0.826,0.69,0,0.9,0,0.87,0.9,0.84,0.77,0.6,0.9,1,1,1,0,0,1
19.17,0.7,0.47,0.75,0.55,0.66,17,13,0.78,0.77,0.69,0,0.84,0,0.7,0.8,0,0.6,0,0.42,1,1,1,0,0,0
19.66,0.53,0.4,0.4,0.53,0.63,17,13,0.769,0.687,0.679,0,0.77,0,0.74,0.7,0.74,0.7,0.64,0.74,1,1,1,1,0,1
19.02,0.6,0.4,0.4,0.65,0.63,17,13,0.866,0.819,0.678,0,0.74,0,0.7,0.64,0.6,0.87,0.6,0.682,1,0,1,1,0,0
19.91,1,0.33,1,0.6,0.71,17,13,0.815,0.672,0.674,0,0.7,2,0.7,0.64,0.64,0.84,0.6,0.9,1,1,1,1,0,1
19.76,0.47,0.2,0.5,0.63,0.32,17,12,0.815,0.672,0.674,0,0.7,2,0.7,0.64,0.64,0.84,0.6,0.9,1,1,1,1,0,1
19.12,0.22,0.8,0.75,0.5,0.51,18,14,0.802,0.644,0.671,0,0.84,0,0.74,0.67,0.6,0.77,0.67,0.7,1,1,1,1,0,0
20.23,0.87,0.07,0.75,0.35,0.69,18,13,0.829,0.791,0.669,0,0.74,0,0.6,0.64,0.77,0.74,0.67,0.77,1,1,1,1,0,0
19.93,0.33,0.8,0.55,0.6,0.6,18,13,0.843,0.745,0.668,0,0.8,0,0.64,0.6,0.6,0.8,0.67,0.64,1,1,1,1,0,0
18.57,0.67,0.67,0.65,0.55,0.54,17,13,0.848,0.829,0.662,0,0.64,0,0.74,0.6,0.74,0.6,0.7,0,1,1,1,1,0,0
19.27,0.53,0,0.7,0.38,0.6,17,13,0.771,0.686,0.661,0,0.6,0,0.9,0.7,0.84,0.6,0.67,0.77,1,1,1,1,0,1
18.75,0.53,0.5,0.8,0.73,0.72,17,13,0.9192,0.717,0.645,0,0.7,0,0.84,0.9,0.77,0.8,0.6,0.9,1,1,1,1,0,0
19.71,0.5,0.4,0.7,0.28,0.58,17,13,0.789,0.74,0.639,2,0.67,0,0.84,0,0.9,0.67,0.67,0.74,1,1,1,1,0,0
20.16,0.7,0.63,1,0.45,0.67,17,13,0.873,0.63,0.63,2,0.7,0,0.74,0.8,0.9,0.84,0.8,0.8,1,1,1,1,0,0
18.41,0.35,0.07,0.75,0.63,0.62,17,13,0.86,0.717,0.624,0,0.77,0,0.7,0.8,0.6,0.77,0.67,0.708,1,1,1,0,0,0
18.45,0.8,0,0.75,0.63,0.71,17,10,0.809,0.64,0.62,2,0.7,0,0.67,0.7,0,0.3425,0,0.3425,1,1,1,0,0,0
19.58,0.9,0.9,1,0.9,0.77,17,16,0.888,0.62,0.62,0,0.9,0,0.87,0.7,0.6,0.7,0.8,0.84,1,1,1,1,0,1
19.55,0.8,0.33,1,0.3,0.61,17,16,0.829,0.61,0.62,2,0.6,0,0.6,0.6,0.74,0.67,0.6,0.8,1,1,1,1,0,1
20.14,0,0,0.85,0,0,17,13,0.855,0.61,0.62,0,0.8,0,0.74,0.8,0.77,0.77,0.77,0.77,1,1,1,0,0,1
19.53,0.2,0.6,0.2,0.45,0.52,17,13,0.771,0.747,0.616,2,0.74,0,0.8,0.64,0.6,0,0.76,0,1,0,1,1,0,0
19.01,0.93,1,1,0.9,0.9,17,13,0.805,0.712,0.607,0,0.87,0,0.84,0.9,0.6,0.77,0.6,0.64,1,1,1,1,0,0
19.29,0.56,1,0.7,0.48,0.67,18,13,0.8677,0.817,0.6,0,0.7,0,0.77,0.77,0.67,0.67,0.6,0.64,1,1,1,1,0,0
17.98,1,0.67,1,0.85,0.9,17,13,0.925,0.723,0.6,0,0.9,0,0.9,0.9,0.74,0.9,0.74,0.84,1,1,1,1,1,0
